Currency,Date,Close,24h Open (USD),24h High (USD),24h Low (USD)
BTC,2018-02-21T05:00:00.000Z,10928.02,11416.03875,11767.5775,10871.53125
BTC,2018-02-22T05:00:00.000Z,10727.9525,10928.02,11180.56125,10244.32125
BTC,2018-02-23T05:00:00.000Z,9809.72125,10727.9525,10913.64875,9592.95999
BTC,2018-02-24T05:00:00.000Z,10412.36875,9809.72125,10454.48,9705.1625
BTC,2018-02-25T05:00:00.000Z,9585.285,10412.36875,10509.625,9381.17125
BTC,2018-02-26T05:00:00.000Z,9627.71625,9585.285,9858.15749,9304.6825
BTC,2018-02-27T05:00:00.000Z,10272.9025,9627.71625,10443.27625,9386.48625
BTC,2018-02-28T05:00:00.000Z,10903.01875,10272.9025,10953.17375,10226.84874
BTC,2018-03-01T05:00:00.000Z,10352.04625,10903.01875,11044.16125,10222.435
BTC,2018-03-02T05:00:00.000Z,11100.2925,10352.04625,11165.6575,10329.06
BTC,2018-03-03T05:00:00.000Z,11305.1225,11100.2925,11351.24,10784.22125
BTC,2018-03-04T05:00:00.000Z,11171.8175,11305.1225,11498.415,11127.895
BTC,2018-03-05T05:00:00.000Z,11558.475,11171.8175,11574.94125,11067.785
BTC,2018-03-06T05:00:00.000Z,11246.7475,11558.475,11660.2425,11182.55125
BTC,2018-03-07T05:00:00.000Z,10735.88625,11246.7475,11323.345,10584.95875
BTC,2018-03-08T05:00:00.000Z,9552.75875,10735.88625,10810.4775,9468.44625
BTC,2018-03-09T05:00:00.000Z,8980.19249,9552.75875,10101.28125,8897.02249
BTC,2018-03-10T05:00:00.000Z,9251.2925,8980.19249,9413.14625,8370.79625
BTC,2018-03-11T05:00:00.000Z,8680.6075,9251.2925,9505.25625,8474.54
BTC,2018-03-12T04:00:00.000Z,9433.47374,8680.6075,9730.08124,8588.22875
BTC,2018-03-13T04:00:00.000Z,9047.5125,9433.47374,9885.2225,8778.20624
BTC,2018-03-14T04:00:00.000Z,9260.70875,9047.5125,9474.6775,8860.875
BTC,2018-03-15T04:00:00.000Z,7895.98875,9260.70875,9260.70875,7760.53125
BTC,2018-03-16T04:00:00.000Z,8039.6025,7895.98875,8413.11125,7676.51875
BTC,2018-03-17T04:00:00.000Z,8206.555,8039.6025,8599.54,8035.64
BTC,2018-03-18T04:00:00.000Z,7667.99,8206.555,8342.135,7559.26375
BTC,2018-03-19T04:00:00.000Z,8189.49125,7667.99,8434.9275,7335.5725
BTC,2018-03-20T04:00:00.000Z,8597.3375,8189.49125,8702.465,8130.24
BTC,2018-03-21T04:00:00.000Z,9028.2975,8597.3375,9050.51625,8324.26125
BTC,2018-03-22T04:00:00.000Z,9023.7175,9028.2975,9159.90125,8765.57
BTC,2018-03-23T04:00:00.000Z,8411.6525,9023.7175,9045.44249,8347.285
BTC,2018-03-24T04:00:00.000Z,8881.98625,8411.6525,8970.66124,8296.32625
BTC,2018-03-25T04:00:00.000Z,8548.8125,8881.98625,9000.44375,8462.90375
BTC,2018-03-26T04:00:00.000Z,8429.33124,8548.8125,8660.48749,8370.48875
BTC,2018-03-27T04:00:00.000Z,7854.6375,8429.33124,8476.96875,7826.01375
BTC,2018-03-28T04:00:00.000Z,7863.255,7854.6375,8130.44875,7744.82125
BTC,2018-03-29T04:00:00.000Z,7866.36,7863.255,8096.01625,7814.895
BTC,2018-03-30T04:00:00.000Z,6861.325,7866.36,7868.8325,6686.85
BTC,2018-03-31T04:00:00.000Z,6970.36375,6861.325,7266.065,6593.73625
